RAJ,    11:23:52.210
DECJ,    -66:51:49.07
RAJ,    11:24
DECJ,    -36:00
RAJ,    11:24:56.47
DECJ,    -56:38:39.7
RAJ,    11:24:39.0
DECJ,    -59:16:19
RAJ,    11:24:59.5
DECJ,    -64:21:17
RAJ,    11:25:44.36564
DECJ,    -58:25:16.8798
RAJ,    11:25:55.2180
DECJ,    -60:14:06.608
RAJ,    11:26
DECJ,    -27:37
RAJ,    11:26:52.608
DECJ,    -60:54:39.96
RAJ,    11:26:21.67
DECJ,    -69:42:15.3
RAJ,    11:28:46.7
DECJ,    -62:19:09
RAJ,    11:29:21
DECJ,    -53:31
RAJ,    11:30:16.33
DECJ,    -58:26:02.3
RAJ,    11:30:10.44
DECJ,    -59:25:34.1
RAJ,    11:30:31.913
DECJ,    -68:07:28.52
RAJ,    11:32:33
DECJ,    -46:55:06
RAJ,    11:32:15.74
DECJ,    -56:27:28.9
RAJ,    11:33:51.45
DECJ,    -62:50:50.6
RAJ,    11:35:56
DECJ,    -49:25:31
RAJ,    11:35
DECJ,    -60:55
RAJ,    11:36:03.2477
DECJ,    15:51:04.48
RAJ,    11:36:02.17
DECJ,    -55:25:08.3
RAJ,    11:37:32.089
DECJ,    -67:00:33.01
RAJ,    11:38:21.62
DECJ,    -62:07:59.3
RAJ,    11:41:25.629
DECJ,    -31:07:52.6
RAJ,    11:41:07.0140
DECJ,    -65:45:19.1131
RAJ,    11:42
DECJ,    +01:19
RAJ,    11:42:52.5
DECJ,    -62:30:03.9
RAJ,    11:43:15.065
DECJ,    -51:58:39.89
RAJ,    11:43:09.79
DECJ,    -55:36:04.5
RAJ,    11:44:34.8
DECJ,    -61:46:49
RAJ,    11:44:02.11
DECJ,    -62:17:30.3
RAJ,    11:46:07.74
DECJ,    -60:30:59.4
RAJ,    11:47
DECJ,-66
RAJ,    11:48:28.53
DECJ,    -57:25:12.6
RAJ,    11:48:37.8
DECJ,    -64:15:33
RAJ,    11:51:56.86
DECJ,    -61:08:17.6
RAJ,    11:52:10.0
DECJ,    -58:00:34
RAJ,    11:52:53.8
DECJ,    -60:12:21
RAJ,    11:53
DECJ,    -21:18
RAJ,    11:54:20.1
DECJ,    -62:50:02.7
RAJ,    11:56:07.45
DECJ,    -57:07:01.9
RAJ,    11:56:21.5
DECJ,    -59:09:12.3
RAJ,    11:57:08.166
DECJ,    -51:12:56.14
RAJ,    11:57:15.240
DECJ,    -62:24:50.87
RAJ,    11:59:21.7
DECJ,    -64:09:57
RAJ,    11:59:35.71
DECJ,    -79:10:05.6
RAJ,    12:01:23.01
DECJ,    -63:06:59.5
RAJ,    12:02:28.403
DECJ,    -58:20:33.4
RAJ,    12:04:36.72
DECJ,    -68:43:17.19
RAJ,    12:07:21.81
DECJ,    -50:50:30.3
RAJ,    12:10:00.91
DECJ,    -52:26:28.4
RAJ,    12:10:05.988
DECJ,    -55:59:03.92
RAJ,    12:10:42.0
DECJ,    -65:50:04.6
RAJ,    12:11:24.18
DECJ,    -63:24:45.2
RAJ,    12:14:08.42
DECJ,    -58:30:25.9
RAJ,    12:15:00.62
DECJ,    -53:28:31.6
RAJ,    12:16:20
DECJ,    -50:27:01
RAJ,    12:16:41.89
DECJ,    -62:23:57.8
RAJ,    12:16:07.3396
DECJ,    -64:10:09.226
RAJ,    12:20:17.86
DECJ,    -63:18:46.5
RAJ,    12:22:52.3
DECJ,    -57:38:20
RAJ,    12:24:44.25
DECJ,    -62:08:41.1
RAJ,    12:24:22.185
DECJ,    -64:07:53.91
RAJ,    12:25:43.827
DECJ,    -55:56:43.14
RAJ,    12:25:28.63
DECJ,    -60:35:37.6
RAJ,    12:25:42.8
DECJ,    -64:08:43
RAJ,    12:26:50
DECJ,    -32:27
RAJ,    12:27:58.724
DECJ,    -48:53:42.741
RAJ,    12:27:00.4413
DECJ,    -62:08:43.789
RAJ,    12:27:12
DECJ,    -63:09
RAJ,    12:31:11.3132
DECJ,    -14:11:43.63
RAJ,    12:31:45.76
DECJ,    -46:09:45.2
RAJ,    12:31:13.0
DECJ,    -63:03:18
RAJ,    12:32:19.1
DECJ,    -47:42:50.9
RAJ,    12:32:17.840
DECJ,    -65:01:03.33
RAJ,    12:33:31.5
DECJ,    -63:12:29
RAJ,    12:33:39.9
DECJ,    -63:44:55
RAJ,    12:35:19
DECJ,    -55:16
RAJ,    12:35:57.72
DECJ,    -63:54:30.4
